feature_set,TN,FP,FN,TP
ablate_top__additional_AAAA_count,65780,0,9183,7262
ablate_top__additional_A_count,65780,0,9183,7262
ablate_top__additional_out_of_bailiwick_count,65780,0,9183,7262
ablate_top__answer_A_count,65780,0,9183,7262
ablate_top__answer_record_count,65780,0,9183,7262
ablate_top__dns_count_add_rr,65780,0,9183,7262
ablate_top__dns_count_answers,65780,0,9183,7262
ablate_top__has_additional_A,65780,0,9183,7262
ablate_top__record_total,65780,0,9183,7262
ablate_top__unique_record_name_count,65780,0,9183,7262
add_back_dropped__frame_cap_len,65780,0,9183,7262
add_back_dropped__ip_len,65780,0,9183,7262
add_back_dropped__query_entropy,65780,0,9183,7262
add_back_dropped__query_label_count,65780,0,9183,7262
add_back_dropped__query_name_len,65780,0,9183,7262
add_back_dropped__src_port,65318,462,4183,12262
add_back_dropped__ttl_max,65780,0,9183,7262
add_back_dropped__ttl_mean,65780,0,9183,7262
add_back_dropped__ttl_min,65780,0,9183,7262
add_back_dropped__udp_length,65780,0,9183,7262
all_current,65780,0,9183,7262
dns_structure_only,65780,0,9183,7262
dropped_shortcut_only,60715,5065,0,16445
shortcut_suspects_only,64661,1119,3428,13017
top_importance_only,65780,0,9183,7262
