feature_set,feature,importance
ablate_top__additional_AAAA_count,additional_A_count,0.25103256744173674
ablate_top__additional_AAAA_count,has_additional_A,0.20795299924549512
ablate_top__additional_AAAA_count,additional_out_of_bailiwick_count,0.14345604259406747
ablate_top__additional_AAAA_count,unique_record_name_count,0.09477530268120604
ablate_top__additional_AAAA_count,frame_len,0.08480259601852683
ablate_top__additional_AAAA_count,dns_id,0.04081008667910012
ablate_top__additional_AAAA_count,answer_A_count,0.039482873305724434
ablate_top__additional_AAAA_count,record_total,0.03777559450358836
ablate_top__additional_AAAA_count,ttl_std,0.027810268608847406
ablate_top__additional_AAAA_count,additional_record_count,0.022554869169900085
ablate_top__additional_AAAA_count,dns_count_add_rr,0.016477061302203555
ablate_top__additional_AAAA_count,answer_record_count,0.013983793514482517
ablate_top__additional_AAAA_count,dns_count_answers,0.007267146484247146
ablate_top__additional_AAAA_count,answer_CNAME_count,0.006782936516572231
ablate_top__additional_AAAA_count,answer_AAAA_count,0.00418971500106221
ablate_top__additional_AAAA_count,answer_matches_query_count,0.000616370987314564
ablate_top__additional_AAAA_count,authority_SOA_count,7.543029129188296e-05
ablate_top__additional_AAAA_count,dns_count_auth_rr,5.080956959109383e-05
ablate_top__additional_AAAA_count,authority_record_count,4.845399481508342e-05
ablate_top__additional_AAAA_count,has_authority,3.3052590284661816e-05
ablate_top__additional_AAAA_count,has_answer,1.9768788716900657e-05
ablate_top__additional_AAAA_count,ip_ttl,2.0775949791244824e-06
ablate_top__additional_AAAA_count,dns_flags_rcode,1.831162464903918e-07
ablate_top__additional_AAAA_count,ip_proto,0.0
ablate_top__additional_AAAA_count,tcp_len,0.0
ablate_top__additional_AAAA_count,dst_port,0.0
ablate_top__additional_AAAA_count,dns_flags_authoritative,0.0
ablate_top__additional_AAAA_count,dns_flags_truncated,0.0
ablate_top__additional_AAAA_count,dns_flags_recdesired,0.0
ablate_top__additional_AAAA_count,dns_flags_recavail,0.0
ablate_top__additional_AAAA_count,dns_count_queries,0.0
ablate_top__additional_AAAA_count,answer_NS_count,0.0
ablate_top__additional_AAAA_count,authority_NS_count,0.0
ablate_top__additional_AAAA_count,additional_NS_count,0.0
ablate_top__additional_AAAA_count,additional_CNAME_count,0.0
ablate_top__additional_AAAA_count,has_additional,0.0
ablate_top__additional_AAAA_count,has_authority_NS,0.0
ablate_top__additional_A_count,has_additional_A,0.2682830862213833
ablate_top__additional_A_count,additional_out_of_bailiwick_count,0.18463057587605028
ablate_top__additional_A_count,unique_record_name_count,0.1722126694835839
ablate_top__additional_A_count,frame_len,0.10808212725951721
ablate_top__additional_A_count,dns_id,0.06841559385236318
ablate_top__additional_A_count,answer_A_count,0.04126204580703269
ablate_top__additional_A_count,record_total,0.04015824924155142
ablate_top__additional_A_count,ttl_std,0.030164065651473133
ablate_top__additional_A_count,answer_record_count,0.01955871193259487
ablate_top__additional_A_count,additional_AAAA_count,0.014030942047767898
ablate_top__additional_A_count,additional_record_count,0.013474941350875345
ablate_top__additional_A_count,dns_count_answers,0.011547381414209561
ablate_top__additional_A_count,dns_count_add_rr,0.011086693515038024
ablate_top__additional_A_count,answer_CNAME_count,0.009945431438299684
ablate_top__additional_A_count,answer_AAAA_count,0.0060350278049968
ablate_top__additional_A_count,answer_matches_query_count,0.0007525351607350399
ablate_top__additional_A_count,authority_SOA_count,9.45872783877614e-05
ablate_top__additional_A_count,has_answer,8.288994462784122e-05
ablate_top__additional_A_count,dns_count_auth_rr,6.398439541078262e-05
ablate_top__additional_A_count,authority_record_count,6.144112026843446e-05
ablate_top__additional_A_count,has_authority,5.410009322044017e-05
ablate_top__additional_A_count,ip_ttl,2.1897522103894266e-06
ablate_top__additional_A_count,dns_flags_rcode,7.293584020532018e-07
ablate_top__additional_A_count,ip_proto,0.0
ablate_top__additional_A_count,tcp_len,0.0
ablate_top__additional_A_count,dst_port,0.0
ablate_top__additional_A_count,dns_flags_authoritative,0.0
ablate_top__additional_A_count,dns_flags_truncated,0.0
ablate_top__additional_A_count,dns_flags_recdesired,0.0
ablate_top__additional_A_count,dns_flags_recavail,0.0
ablate_top__additional_A_count,dns_count_queries,0.0
ablate_top__additional_A_count,answer_NS_count,0.0
ablate_top__additional_A_count,authority_NS_count,0.0
ablate_top__additional_A_count,additional_NS_count,0.0
ablate_top__additional_A_count,additional_CNAME_count,0.0
ablate_top__additional_A_count,has_additional,0.0
ablate_top__additional_A_count,has_authority_NS,0.0
ablate_top__additional_out_of_bailiwick_count,additional_A_count,0.2675068229127031
ablate_top__additional_out_of_bailiwick_count,has_additional_A,0.2193777699194674
ablate_top__additional_out_of_bailiwick_count,unique_record_name_count,0.16193599210264886
ablate_top__additional_out_of_bailiwick_count,frame_len,0.1099094979681083
ablate_top__additional_out_of_bailiwick_count,dns_id,0.05158920683907919
ablate_top__additional_out_of_bailiwick_count,answer_A_count,0.03897483563474948
