feature_set,feature_count,threshold,TN,FP,FN,TP,accuracy,precision,recall,f1,f2,false_positive_rate,false_negative_rate,attack_probability_mean,attack_probability_median
ablate_top__additional_AAAA_count,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07320162141552077,0.0016629314079485442
ablate_top__additional_A_count,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07345161758022777,0.007235311235211772
ablate_top__additional_out_of_bailiwick_count,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07121934510842196,0.0003628886765137286
ablate_top__answer_A_count,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07959608563132772,0.0037702960705569503
ablate_top__answer_record_count,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.0760736960733472,0.003908646820164978
ablate_top__dns_count_add_rr,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.0774742641031383,0.003908646820164978
ablate_top__dns_count_answers,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07496482353376444,0.0024524859299098058
ablate_top__has_additional_A,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07590593196359097,0.006444548845190223
ablate_top__record_total,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.0780545459632519,0.003609165613321391
ablate_top__unique_record_name_count,37,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07577146944575294,0.0006222913692661763
add_back_dropped__frame_cap_len,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07161935010288965,0.0
add_back_dropped__ip_len,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07147985481556829,0.0
add_back_dropped__query_entropy,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.08612399975521698,0.000621603625088882
add_back_dropped__query_label_count,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.0795994316696262,0.000621603625088882
add_back_dropped__query_name_len,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.08167839734884205,0.000621603625088882
add_back_dropped__src_port,39,0.3,65318,462,4183,12262,0.9435086652477956,0.9636906633134235,0.7456369717239283,0.8407555966951216,0.7809793131560175,0.0070234113712374585,0.25436302827607177,0.1180419759502739,0.0
add_back_dropped__ttl_max,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.05649426948439936,0.0
add_back_dropped__ttl_mean,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.05578128909532398,0.0
add_back_dropped__ttl_min,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.05578146815335611,0.0
add_back_dropped__udp_length,39,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07147985481556829,0.0
all_current,38,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07239636966403877,0.0036748863057105164
dns_structure_only,31,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07214101550623289,0.0
dropped_shortcut_only,12,0.3,60715,5065,0,16445,0.9384007297050775,0.7645281264528127,1.0,0.8665524963772889,0.9419750257761484,0.07699908786865309,0.0,0.13708506840348178,0.0
shortcut_suspects_only,22,0.3,64661,1119,3428,13017,0.9447005168744299,0.9208404074702886,0.7915475828519307,0.8513129067067787,0.8144176385204465,0.01701124961994527,0.20845241714806934,0.10591379357828316,0.0
top_importance_only,10,0.3,65780,0,9183,7262,0.8883186378838552,1.0,0.4415931894192764,0.6126460539081284,0.4971112510610334,0.0,0.5584068105807236,0.07583782304651869,0.0
