feature_set,group,count,mean,median,std,min,max,q25,q75,IQR
all_current,actual_normal,65780,0.004955638906175893,0.0036748863057105164,0.016944084644033783,0.0,0.2148464451210061,0.0,0.004084481001114747,0.004084481001114747
all_current,actual_attack,16445,0.3421592926954902,0.04367488630571051,0.3817926029630379,0.0036748863057105164,0.9936727196652761,0.04367488630571051,0.5929094047579508,0.5492345184522404
all_current,TP,7262,0.7405680301521943,0.5929094047579508,0.21273829064927613,0.5229099438413986,0.9936727196652761,0.5279099438413986,0.9886727196652761,0.4607627758238776
all_current,FN,9183,0.027094036089742212,0.04367488630571051,0.021130041683018127,0.0036748863057105164,0.06921272020829759,0.0036748863057105164,0.04367488630571051,0.039999999999999994
all_current,FP,0,,,,,,,,
all_current,TN,65780,0.004955638906175893,0.0036748863057105164,0.016944084644033783,0.0,0.2148464451210061,0.0,0.004084481001114747,0.004084481001114747
dropped_shortcut_only,actual_normal,65780,0.03834159312359254,0.0,0.1368948456546153,0.0,0.93,0.0,0.0,0.0
dropped_shortcut_only,actual_attack,16445,0.5320589695230388,0.485,0.17695172215280322,0.395,1.0,0.47,0.485,0.015000000000000013
dropped_shortcut_only,TP,16445,0.5320589695230388,0.485,0.17695172215280322,0.395,1.0,0.47,0.485,0.015000000000000013
dropped_shortcut_only,FN,0,,,,,,,,
dropped_shortcut_only,FP,5065,0.4872280355380058,0.47,0.14914648668444958,0.31,0.93,0.405,0.47,0.06499999999999995
dropped_shortcut_only,TN,60715,0.000894342348182772,0.0,0.01536386380902263,0.0,0.295,0.0,0.0,0.0
top_importance_only,actual_normal,65780,0.0011865308604439042,0.0,0.010615487142298883,0.0,0.125,0.0,0.0,0.0
top_importance_only,actual_attack,16445,0.3744429917908179,0.0,0.4333291702349408,0.0,1.0,0.0,0.845,0.845
top_importance_only,TP,7262,0.8479365188653264,0.845,0.15396349831104192,0.625,1.0,0.625,1.0,0.375
top_importance_only,FN,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
top_importance_only,FP,0,,,,,,,,
top_importance_only,TN,65780,0.0011865308604439042,0.0,0.010615487142298883,0.0,0.125,0.0,0.0,0.0
dns_structure_only,actual_normal,65780,0.00048031316509577376,0.0,0.004606548681456638,0.0,0.065,0.0,0.0,0.0
dns_structure_only,actual_attack,16445,0.35878382487078136,0.0,0.4188438463549075,0.0,1.0,0.0,0.75,0.75
dns_structure_only,TP,7262,0.812475901955384,0.75,0.1692110402956778,0.6,1.0,0.6,1.0,0.4
dns_structure_only,FN,9183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dns_structure_only,FP,0,,,,,,,,
dns_structure_only,TN,65780,0.00048031316509577376,0.0,0.004606548681456638,0.0,0.065,0.0,0.0,0.0
shortcut_suspects_only,actual_normal,65780,0.02270595177591096,0.0,0.07877007194697391,0.0,0.45,0.0,0.0,0.0
shortcut_suspects_only,actual_attack,16445,0.43874516078777187,0.46,0.17463453590045994,0.265,0.9999832775124206,0.31,0.52,0.21000000000000002
shortcut_suspects_only,TP,13017,0.48450058916454714,0.46498353621993693,0.16877530361598908,0.31,0.9999832775124206,0.31,0.6049836061148719,0.2949836061148719
shortcut_suspects_only,FN,3428,0.26500000000000007,0.265,5.551924972881806e-17,0.265,0.265,0.265,0.265,0.0
shortcut_suspects_only,FP,1119,0.3771255927252751,0.369995543474338,0.06565721023469487,0.3,0.45,0.31749554347433795,0.45,0.13250445652566206
shortcut_suspects_only,TN,64661,0.016572492995156896,0.0,0.06345150910377265,0.0,0.299995543474338,0.0,0.0,0.0
ablate_top__has_additional_A,actual_normal,65780,0.008934849805282917,0.006444548845190223,0.019020386581602718,0.0,0.2418769849598715,0.005824742383594117,0.008163940648778751,0.0023391982651846336
ablate_top__has_additional_A,actual_attack,16445,0.34379026059682316,0.1308494265378485,0.35035036341496495,0.002914096343123314,0.9906148727344154,0.1258494265378485,0.5177040997615131,0.39185467322366463
ablate_top__has_additional_A,TP,7262,0.6835540089520208,0.5177040997615131,0.25669366171265734,0.4107647495215398,0.9906148727344154,0.41576550315951527,0.9806399192237619,0.5648744160642467
ablate_top__has_additional_A,FN,9183,0.0751019952635503,0.1258494265378485,0.06493215762165938,0.002914096343123314,0.1719924699233987,0.002914096343123314,0.1258494265378485,0.12293533019472519
ablate_top__has_additional_A,FP,0,,,,,,,,
ablate_top__has_additional_A,TN,65780,0.008934849805282917,0.006444548845190223,0.019020386581602718,0.0,0.2418769849598715,0.005824742383594117,0.008163940648778751,0.0023391982651846336
